candidate_id,recommended_occupation,hybrid_recommendation_score,recommendation_explanation,prioritized_skill_gaps,average_prescriptive_priority,maximum_prescriptive_priority,demand_percentage,demand_level,cip_status,education_action
Candidate_001,Software Developer,69.05,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Speaking (49.60%); Monitoring (48.16%),50.16,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_002,Office Manager,55.62,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Monitoring (69.14%); Speaking (69.14%); Active Listening (68.42%),68.9,69.14,52.86,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_003,Administrative Assistant,93.24,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Mathematics (39.26%); Science (23.54%),31.4,39.26,43.85,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_004,Software Developer,78.59,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Active Listening (52.72%); Speaking (49.60%),51.16,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_005,Software Developer,53.35,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Writing (50.38%); Speaking (49.60%),50.9,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_006,Software Developer,90.46,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Monitoring (48.16%),48.16,48.16,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_008,Software Developer,68.08,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Writing (50.38%); Speaking (49.60%),50.9,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_009,Administrative Assistant,27.73,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (64.04%); Speaking (63.26%); Critical Thinking (57.26%),61.52,64.04,43.85,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_010,Office Manager,98.56,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Science (27.14%),27.14,27.14,52.86,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_011,Office Manager,67.69,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Speaking (69.14%); Active Listening (68.42%); Mathematics (54.14%),63.9,69.14,52.86,Moderate,CIP pathway available,Review mapped CIP education pathways
