insight_id,category,finding,implication
INSIGHT_01,Recommendation Concentration,"Software Developer is the most frequent Top-1 recommendation, selected for 35 of 63 candidates (55.56%).",The candidate dataset shows a strong concentration toward this occupation under the current hybrid recommendation model.
INSIGHT_02,Recommendation Strength,The average Top-1 recommendation score across all candidates is 78.18%.,The final hybrid model generally produces relatively strong Top-1 matches across the evaluated candidate profiles.
INSIGHT_03,Skill Alignment,Average Top-1 skill alignment is 96.06%.,Candidate skill evidence contributes strongly to the final career recommendations.
INSIGHT_04,Skill Development,"56 of 63 candidates have at least one priority skill gap, with an average of 2.76 missing skills per candidate.",Prescriptive recommendations remain important even when overall career-match scores are high.
INSIGHT_05,Labour Demand,Food Service Supervisor has the highest average labour-demand score among Top-1 occupations at 68.33%.,Labour-market attractiveness differs across recommended careers and should be considered alongside candidate fit.
INSIGHT_06,Highest Average Match,Software Developer has the highest average recommendation score among Top-1 occupations at 82.47%.,This occupation shows the strongest average combined fit within the current candidate cohort.
INSIGHT_07,Skill-Gap Burden,"Food Service Supervisor has the lowest average missing-skill count (0.45), while Office Manager has the highest (3.50).",Different recommended occupations require substantially different levels of candidate skill development.
INSIGHT_08,RAG Explainability,All 63 candidates have deployment-ready RAG explanations aligned to their final Top-1 occupation.,The deployment layer provides interpretable recommendation evidence rather than presenting ranking scores alone.
INSIGHT_09,RAG Quality Control,"47 Week 7 explanations were already aligned with the final Top-1 recommendation, while 16 were regenerated after occupation alignment validation.",Explicit occupation-level validation prevents explanations from being attached to the wrong final recommendation.
INSIGHT_10,Deployment Coverage,"All 63 of 63 candidate profiles contain a Top-1 recommendation, prescriptive skill-gap result, and aligned RAG explanation.",The analytical pipeline has complete candidate-level coverage for the planned deployment interface.
