limitation_area,limitation,potential_impact,mitigation_or_future_work
Recommendation Scope,The recommendation system is restricted to the 15 occupations selected for the capstone analysis.,A candidate may have a strong match to an occupation outside the predefined occupation set.,"Expand the occupation catalogue and repeat the crosswalk, skill-profile, demand, and education integration pipeline."
Model Type,The system is a content-based ranking system rather than a supervised career-classification model.,Recommendation quality cannot be interpreted as classification accuracy without independent human relevance labels.,"Use the human-reviewed ranking matrix to calculate Top-K metrics, MRR, and NDCG and later develop supervised models if sufficient labelled data become available."
Skill Representation,The current O*NET candidate-skill matrix evaluates 10 selected O*NET skill dimensions.,Candidate capabilities outside these dimensions may not be fully represented in the skill-gap calculation.,"Expand the skill taxonomy using additional O*NET, ESCO, domain-specific, and occupation-specific skill dimensions."
Skill Extraction,Candidate skill evidence is automatically extracted from CV text and may contain missed skills or incorrectly detected skills.,Extraction errors can propagate into candidate matching and skill-gap recommendations.,"Complete the human-reviewed skill-extraction matrix and use Precision, Recall, F1, false-positive, and false-negative analysis to refine extraction rules."
Skill-Gap Inference,A skill is treated as existing or missing according to evidence detected in the candidate CV.,Absence of a skill from a CV does not necessarily mean that the candidate does not possess that skill.,"Combine CV evidence with candidate questionnaires, portfolios, certifications, assessments, and human validation."
Labour Demand,Job Bank labour-demand scores are derived from the project dataset and represent the available observation period rather than continuously updated labour-market conditions.,"Demand rankings may change as vacancies, locations, and labour-market conditions change.",Refresh Job Bank data periodically and introduce time-aware demand indicators.
Geographic Demand,The demand component summarizes Canadian labour-market evidence and does not model every candidate's specific relocation preferences or local commuting constraints.,A high-demand occupation nationally may not be equally attractive in the candidate's preferred location.,"Add province, city, remote-work, and candidate-location preference filters."
Education Alignment,CIP education recommendations depend on available occupation-to-CIP crosswalk mappings.,Some candidate-occupation pairs have no mapped CIP pathway even when relevant training may exist.,Expand and manually validate CIP mappings and incorporate Canadian institutional program data.
Crosswalk Mapping,"The project integrates occupational datasets through NOC, SOC, O*NET-SOC, and CIP crosswalk relationships.",Many-to-many or imperfect crosswalk relationships can introduce ambiguity between occupational classifications.,Perform additional expert validation of ambiguous mappings and maintain mapping-confidence indicators.
Hybrid Weighting,"The final recommendation score uses project-defined weights: 0.35 skill, 0.35 semantic similarity, 0.20 labour demand, and 0.10 education alignment.",Different weighting choices may change occupation rankings.,Perform sensitivity analysis and optimize weights using completed human relevance judgments.
RAG Retrieval,"RAG explanations are grounded only in the project's indexed O*NET, Job Bank, CIP, task, skill, and integrated-profile documents.",Information not represented in the knowledge base cannot reliably support the generated explanation.,"Expand the knowledge base with validated occupation, training, certification, and labour-market sources."
RAG Generation,Retrieved evidence reduces unsupported generation risk but does not guarantee that every generated statement is correct or fully supported.,"Explanations may contain incomplete, weakly supported, or incorrectly interpreted statements.","Complete the human RAG evaluation for relevance, correctness, groundedness, citation correctness, completeness, clarity, usefulness, and unsupported claims."
Human Evaluation Sample,The formal human-review templates currently use a 20-candidate evaluation subset.,Evaluation results from the review subset may not fully represent all 63 candidates.,Increase the reviewed sample or conduct full-candidate evaluation where resources permit.
Human Ground Truth,"Human-review fields are currently blank, so ground-truth-dependent evaluation metrics are intentionally not reported yet.","Precision, Recall, F1, Top-K accuracy, MRR, NDCG, skill-gap agreement, and final RAG quality scores cannot yet be interpreted.",Complete the human-review templates before calculating or reporting final evaluation metrics.
