document_id,selected_occupation,source_type,source_name,source_reference,document_text
RAG_DOC_0001,Software Developer,Occupation Profile,O*NET,15-1252.00,"Occupation: Software Developer. O*NET occupation: Software Developers (15-1252.00). Job Zone: 4. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 17 task records, 12 education records, and 29 training records."
RAG_DOC_0002,Information Technology (IT) Analyst,Occupation Profile,O*NET,15-1211.00,"Occupation: Information Technology (IT) Analyst. O*NET occupation: Computer Systems Analysts (15-1211.00). Job Zone: 4. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 22 task records, 12 education records, and 29 training records."
RAG_DOC_0003,Information Technology (IT) Analyst,Occupation Profile,O*NET,15-1211.01,"Occupation: Information Technology (IT) Analyst. O*NET occupation: Health Informatics Specialists (15-1211.01). Job Zone: 5. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 17 task records, 12 education records, and 29 training records."
RAG_DOC_0004,Information Technology (IT) Analyst,Occupation Profile,O*NET,15-1212.00,"Occupation: Information Technology (IT) Analyst. O*NET occupation: Information Security Analysts (15-1212.00). Job Zone: 4. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 11 task records, 12 education records, and 29 training records."
RAG_DOC_0005,Information Technology (IT) Analyst,Occupation Profile,O*NET,15-1253.00,"Occupation: Information Technology (IT) Analyst. O*NET occupation: Software Quality Assurance Analysts and Testers (15-1253.00). Job Zone: 4. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 30 task records, 12 education records, and 29 training records."
RAG_DOC_0006,Administrative Assistant,Occupation Profile,O*NET,43-6014.00,"Occupation: Administrative Assistant. O*NET occupation: Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00). Job Zone: 2. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 31 task records, 12 education records, and 29 training records."
RAG_DOC_0007,Bookkeeper,Occupation Profile,O*NET,43-3031.00,"Occupation: Bookkeeper. O*NET occupation: Bookkeeping, Accounting, and Auditing Clerks (43-3031.00). Job Zone: 3. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 28 task records, 12 education records, and 29 training records."
RAG_DOC_0008,Office Administrator,Occupation Profile,O*NET,43-1011.00,"Occupation: Office Administrator. O*NET occupation: First-Line Supervisors of Office and Administrative Support Workers (43-1011.00). Job Zone: 3. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 28 task records, 48 education records, and 58 training records."
RAG_DOC_0009,Office Administrator,Occupation Profile,O*NET,43-6011.00,"Occupation: Office Administrator. O*NET occupation: Executive Secretaries and Executive Administrative Assistants (43-6011.00). Job Zone: 3. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 22 task records, 12 education records, and 29 training records."
RAG_DOC_0010,Office Manager,Occupation Profile,O*NET,43-1011.00,"Occupation: Office Manager. O*NET occupation: First-Line Supervisors of Office and Administrative Support Workers (43-1011.00). Job Zone: 3. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 28 task records, 48 education records, and 58 training records."
RAG_DOC_0011,Restaurant Manager,Occupation Profile,O*NET,11-9051.00,"Occupation: Restaurant Manager. O*NET occupation: Food Service Managers (11-9051.00). Job Zone: 2. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 28 task records, 12 education records, and 29 training records."
RAG_DOC_0012,Food Service Supervisor,Occupation Profile,O*NET,35-1012.00,"Occupation: Food Service Supervisor. O*NET occupation: First-Line Supervisors of Food Preparation and Serving Workers (35-1012.00). Job Zone: 2. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 26 task records, 12 education records, and 29 training records."
RAG_DOC_0013,Retail Sales Associate,Occupation Profile,O*NET,41-2031.00,"Occupation: Retail Sales Associate. O*NET occupation: Retail Salespersons (41-2031.00). Job Zone: 2. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 24 task records, 48 education records, and 58 training records."
RAG_DOC_0014,Inside Sales Representative,Occupation Profile,O*NET,41-2031.00,"Occupation: Inside Sales Representative. O*NET occupation: Retail Salespersons (41-2031.00). Job Zone: 2. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 24 task records, 48 education records, and 58 training records."
